block_duration_min,start_hour,passenger_trains,goods_trains,special_trains,express_trains,regular_passenger_trains,corridor_congestion,peak_hour,criticality,maintenance_priority,traffic_impact_score
114,8,13,5,3,6,7,92,1,1,37,100.0
183,14,11,1,4,4,7,27,0,2,85,100.0
153,12,3,5,4,2,1,14,0,3,74,93.28
87,18,0,9,2,0,0,23,1,3,90,76.32
225,14,10,5,0,1,9,18,0,5,85,100.0
132,7,4,10,0,0,4,95,1,5,28,100.0
126,18,14,5,1,2,12,39,1,3,100,100.0
175,7,1,2,1,0,1,86,1,1,35,60.23
143,18,15,9,3,3,12,34,1,2,97,100.0
161,8,11,6,0,2,9,86,1,5,63,100.0
164,14,1,3,3,0,1,0,0,2,39,51.35
84,9,8,4,2,0,8,0,1,4,96,94.11
140,10,4,6,4,1,3,64,0,5,86,100.0
236,16,2,6,0,1,1,2,0,4,10,64.22
110,18,12,10,3,2,10,14,1,4,3,100.0
113,10,14,5,0,3,11,13,0,2,56,100.0
180,17,2,6,2,2,0,43,1,2,43,88.12
229,10,2,8,0,2,0,65,0,2,100,96.92
119,16,4,3,0,1,3,32,0,2,23,55.39
184,9,2,2,3,1,1,96,1,5,98,100.0
178,19,10,10,2,1,9,56,1,1,61,100.0
143,14,8,9,0,2,6,64,0,1,40,97.35
148,19,1,0,2,1,0,9,1,1,79,54.84
182,21,12,7,4,4,8,94,0,1,58,100.0
237,11,10,9,3,4,6,19,0,1,58,100.0
56,15,2,8,1,0,2,31,0,4,57,60.88
164,21,5,5,2,2,3,49,0,4,100,93.19
116,6,10,1,2,0,10,71,0,4,37,85.37
94,9,10,1,4,5,5,18,1,3,40,100.0
197,17,4,9,0,2,2,71,1,4,83,100.0
232,15,4,10,4,0,4,82,0,4,66,100.0
122,5,11,4,1,1,10,43,0,4,25,91.13
87,9,4,1,2,0,4,64,1,5,95,85.73
164,6,10,9,1,4,6,48,0,2,21,100.0
76,10,14,0,3,2,12,86,0,2,57,100.0
186,14,14,3,4,1,13,39,0,4,25,100.0
124,19,14,4,3,4,10,67,1,4,21,100.0
239,11,4,4,0,3,1,47,0,5,14,79.93
212,21,3,4,0,1,2,34,0,4,66,69.83
67,18,2,3,3,1,1,3,1,4,7,71.82
131,21,11,3,3,0,11,47,0,2,4,100.0
111,8,10,2,1,0,10,36,1,4,90,100.0
65,20,14,9,0,0,14,2,1,3,28,100.0
68,22,13,1,2,1,12,38,0,1,7,83.41
91,18,14,1,0,6,8,63,1,5,69,100.0
34,21,7,2,2,3,4,0,0,5,46,83.97
91,18,5,10,0,4,1,46,1,1,68,100.0
169,21,0,6,3,0,0,81,0,4,48,97.82
94,5,11,1,2,1,10,93,0,1,99,100.0
178,15,4,0,2,4,0,43,0,2,100,90.52
205,19,15,10,1,6,9,17,1,1,92,100.0
228,19,1,4,1,0,1,25,1,1,41,64.78
109,21,12,8,3,2,10,4,0,2,37,100.0
121,6,10,4,0,6,4,47,0,4,52,100.0
220,19,12,5,1,3,9,88,1,4,48,100.0
234,21,8,1,3,0,8,55,0,5,24,97.96
169,14,10,1,0,2,8,84,0,3,40,92.59
144,18,5,7,2,3,2,5,1,3,79,100.0
141,13,1,1,3,1,0,65,0,2,4,71.67
66,19,1,2,0,0,1,99,1,3,47,49.5
128,6,4,10,3,2,2,47,0,4,98,100.0
49,9,11,6,2,5,6,35,1,2,15,100.0
36,10,15,8,3,4,11,15,0,3,100,100.0
96,19,6,9,2,5,1,62,1,2,16,100.0
64,7,14,2,3,0,14,87,1,3,86,100.0
118,7,9,4,1,5,4,90,1,2,47,100.0
160,12,3,3,1,1,2,63,0,1,47,59.08
171,16,14,8,1,4,10,11,0,1,40,100.0
131,20,13,6,4,0,13,16,1,3,83,100.0
48,19,14,10,4,2,12,16,1,5,82,100.0
180,10,4,6,4,0,4,15,0,5,20,89.23
107,10,5,5,1,2,3,66,0,3,11,76.88
94,11,8,2,2,4,4,68,0,1,65,100.0
194,10,4,2,4,4,0,43,0,5,6,100.0
37,7,1,10,4,1,0,83,1,2,99,93.35
176,18,0,7,4,0,0,82,1,3,62,98.87
92,17,9,7,0,5,4,7,1,2,57,100.0
136,20,14,3,2,4,10,18,1,3,92,100.0
111,16,12,2,2,4,8,71,0,1,41,100.0
91,19,3,4,3,1,2,18,1,1,7,70.87
104,17,13,3,1,6,7,41,1,5,93,100.0
110,11,5,7,4,3,2,63,0,3,64,100.0
35,7,12,8,3,1,11,27,1,5,46,100.0
42,6,9,7,4,6,3,83,0,4,37,100.0
167,5,3,6,1,2,1,93,0,3,98,89.43
133,16,1,6,0,0,1,46,0,5,37,53.53
48,17,14,8,2,6,8,79,1,5,16,100.0
62,8,12,5,2,4,8,46,1,2,26,100.0
184,21,12,8,0,0,12,4,0,2,92,90.58
115,20,14,2,4,4,10,17,1,3,79,100.0
111,10,12,9,2,4,8,43,0,5,66,100.0
166,20,9,7,0,2,7,42,1,1,54,100.0
179,14,0,9,3,0,0,83,0,5,74,84.74
88,6,15,2,4,5,10,92,0,5,100,100.0
127,9,7,0,4,5,2,14,1,2,3,100.0
142,15,13,2,3,5,8,26,0,4,65,100.0
228,20,1,2,4,0,1,71,1,3,85,95.46
152,21,12,5,1,3,9,68,0,3,70,100.0
120,13,15,3,1,2,13,71,0,3,29,100.0
106,14,6,7,2,3,3,44,0,5,93,100.0
100,14,3,9,4,3,0,50,0,3,99,92.21
235,9,9,0,2,5,4,10,1,3,57,100.0
197,13,15,3,1,6,9,68,0,3,72,100.0
208,13,4,1,4,4,0,30,0,2,7,85.46
201,21,7,10,1,0,7,12,0,4,43,100.0
213,20,3,10,1,0,3,70,1,2,53,89.13
197,20,15,10,1,6,9,36,1,3,37,100.0
195,6,2,10,4,0,2,68,0,1,23,91.69
136,10,1,6,3,0,1,95,0,3,5,83.49
32,14,3,5,2,3,0,82,0,5,68,83.72
156,9,14,4,1,6,8,14,1,3,21,100.0
217,19,8,2,0,5,3,43,1,3,73,100.0
202,11,5,9,3,3,2,65,0,3,12,100.0
132,8,5,2,3,2,3,31,1,1,34,89.79
128,12,14,4,2,2,12,74,0,5,2,100.0
96,16,7,0,0,3,4,39,0,2,52,65.64
205,21,9,1,2,2,7,78,0,2,29,100.0
64,20,4,7,4,2,2,53,1,5,61,100.0
223,22,6,3,4,6,0,100,0,1,68,100.0
144,21,11,1,4,0,11,7,0,5,65,100.0
81,22,4,2,2,4,0,56,0,1,88,88.65
82,20,2,8,3,0,2,58,1,2,66,81.25
136,19,1,8,3,1,0,92,1,1,51,100.0
95,5,6,9,0,0,6,54,0,3,90,71.34
46,22,1,1,3,0,1,36,0,4,24,48.54
226,9,13,5,3,3,10,48,1,4,11,100.0
204,22,4,10,2,0,4,22,0,5,51,94.2
165,9,7,0,0,2,5,59,1,5,55,91.29
166,17,7,3,3,2,5,19,1,3,25,100.0
215,8,1,10,3,0,1,30,1,2,9,86.45
55,6,14,9,0,1,13,94,0,1,52,100.0
142,12,6,0,1,4,2,37,0,2,94,86.53
177,15,10,3,2,1,9,84,0,5,29,100.0
135,14,8,0,4,4,4,94,0,2,81,100.0
203,18,15,0,2,5,10,85,1,4,68,100.0
111,18,13,2,2,3,10,23,1,5,61,100.0
91,12,9,2,3,0,9,71,0,4,54,100.0
172,21,4,6,1,2,2,26,0,3,83,84.75
50,19,11,1,4,5,6,24,1,1,35,100.0
126,6,2,3,4,2,0,85,0,5,28,91.02
152,11,10,4,0,1,9,24,0,1,96,86.38
223,20,7,9,1,3,4,30,1,5,42,100.0
228,14,12,7,4,5,7,45,0,3,34,100.0
122,21,15,7,0,6,9,92,0,4,98,100.0
111,11,11,5,3,0,11,72,0,2,95,100.0
67,5,8,8,4,4,4,92,0,4,38,100.0
69,11,10,3,3,4,6,31,0,4,71,100.0
197,15,8,7,3,3,5,21,0,3,22,100.0
65,22,15,2,4,5,10,7,0,5,5,100.0
49,6,0,6,1,0,0,8,0,2,2,38.17
85,21,14,5,0,4,10,81,0,5,62,100.0
198,20,0,0,4,0,0,1,1,1,68,64.55
214,13,9,0,4,6,3,89,0,4,23,100.0
57,8,4,3,1,4,0,67,1,3,46,92.25
98,17,2,5,3,1,1,72,1,2,90,94.35
87,14,2,10,0,0,2,51,0,4,49,64.53
171,20,1,10,0,0,1,10,1,4,56,74.78
195,15,3,8,0,1,2,27,0,5,61,77.23
99,6,2,10,2,2,0,72,0,1,23,82.64
110,5,6,9,1,6,0,91,0,4,10,100.0
106,10,7,9,3,5,2,69,0,3,50,100.0
223,9,2,8,2,0,2,12,1,4,30,97.1
49,15,12,5,0,5,7,34,0,4,63,100.0
88,16,12,6,1,5,7,74,0,4,11,100.0
227,14,7,1,0,2,5,19,0,4,92,87.61
230,9,12,5,2,0,12,11,1,1,40,100.0
143,16,8,1,1,0,8,23,0,4,58,76.3
172,22,13,1,0,0,13,45,0,5,12,96.36
182,15,12,0,2,3,9,49,0,1,93,100.0
173,12,5,10,3,1,4,17,0,3,39,92.87
98,20,4,1,1,3,1,35,1,4,39,81.84
153,7,11,4,1,5,6,80,1,4,77,100.0
187,11,14,1,1,2,12,0,0,4,43,100.0
188,17,10,7,2,3,7,83,1,5,18,100.0
106,15,6,7,2,1,5,50,0,3,38,84.89
218,20,7,5,3,2,5,100,1,4,47,100.0
59,11,5,10,4,0,5,93,0,4,91,100.0
83,19,9,1,3,5,4,63,1,2,82,100.0
107,12,8,10,1,5,3,54,0,4,10,100.0
144,20,12,8,4,6,6,88,1,4,70,100.0
39,16,2,1,1,2,0,85,0,3,22,58.6
195,6,12,5,3,0,12,1,0,1,34,97.49
86,21,7,7,2,3,4,59,0,5,89,100.0
158,9,11,0,3,0,11,37,1,4,11,100.0
59,9,11,4,2,3,8,100,1,2,67,100.0
153,16,15,1,3,5,10,89,0,4,41,100.0
47,14,1,1,0,1,0,82,0,1,87,38.03
234,10,7,8,1,4,3,20,0,3,72,100.0
139,19,7,6,1,1,6,81,1,4,51,100.0
37,11,14,9,3,3,11,0,0,2,27,100.0
101,7,3,8,1,2,1,41,1,2,59,91.29
59,13,15,8,2,4,11,49,0,5,51,100.0
180,8,11,5,3,4,7,22,1,3,79,100.0
181,7,4,5,0,1,3,39,1,1,24,67.69
125,9,12,6,4,1,11,73,1,4,55,100.0
77,20,5,8,1,3,2,36,1,2,24,92.84
110,19,1,5,0,1,0,17,1,2,50,57.31
173,21,15,6,3,3,12,90,0,4,63,100.0
72,7,0,3,2,0,0,35,1,2,69,58.38
103,10,14,9,3,4,10,65,0,1,74,100.0
59,13,11,8,0,6,5,92,0,4,70,100.0
85,18,3,10,1,2,1,4,1,4,34,89.33
119,7,14,1,1,1,13,94,1,5,89,100.0
119,18,5,9,1,1,4,26,1,1,73,87.05
119,22,8,9,4,1,7,41,0,3,38,100.0
176,13,3,2,3,0,3,35,0,2,90,69.34
63,12,4,5,1,3,1,62,0,2,74,79.35
191,13,13,6,3,0,13,81,0,1,52,100.0
161,13,11,7,3,2,9,74,0,1,100,100.0
217,7,14,10,2,6,8,8,1,5,51,100.0
85,18,6,7,2,2,4,36,1,3,71,100.0
177,9,15,5,0,0,15,12,1,4,3,100.0
61,10,14,7,0,3,11,25,0,2,84,100.0
107,10,8,1,2,2,6,10,0,3,86,79.1
196,10,1,6,2,0,1,54,0,1,91,72.12
54,5,6,7,0,1,5,75,0,2,67,78.1
204,19,0,0,2,0,0,54,1,2,62,73.03
48,12,12,1,0,0,12,40,0,3,39,70.42
65,17,4,10,1,0,4,67,1,5,2,88.56
186,10,14,5,1,5,9,95,0,2,53,100.0
187,19,6,1,0,1,5,96,1,1,76,76.12
216,17,11,6,2,6,5,17,1,2,36,100.0
195,7,7,8,4,4,3,92,1,5,37,100.0
229,5,9,3,4,4,5,65,0,2,96,100.0
130,14,1,3,3,1,0,14,0,2,64,60.53
193,7,0,5,2,0,0,49,1,5,54,90.44
123,22,5,7,0,0,5,75,0,1,2,70.25
97,11,1,0,3,1,0,80,0,5,99,70.8
136,18,12,1,4,4,8,78,1,2,36,100.0
51,14,2,8,1,0,2,68,0,3,51,67.22
180,7,9,6,1,0,9,31,1,1,56,90.48
59,19,1,4,1,0,1,1,1,2,90,59.28
32,10,15,5,4,4,11,100,0,3,22,100.0
125,9,8,1,0,2,6,54,1,3,68,89.39
46,13,2,7,3,2,0,46,0,1,64,65.93
175,10,11,2,2,6,5,13,0,5,87,100.0
215,8,7,8,0,0,7,1,1,2,6,83.31
150,16,12,2,1,6,6,4,0,5,92,100.0
219,18,7,5,1,3,4,92,1,3,35,100.0
49,16,3,8,0,1,2,28,0,5,6,59.0
132,7,14,4,2,2,12,11,1,5,59,100.0
32,16,6,4,4,6,0,38,0,5,32,100.0
148,16,15,3,4,6,9,31,0,2,1,100.0
134,5,7,8,2,5,2,88,0,1,43,100.0
30,17,9,1,1,4,5,30,1,4,63,96.6
45,9,8,1,0,1,7,66,1,4,90,86.79
125,19,2,9,0,2,0,17,1,4,10,79.3
181,6,13,10,1,1,12,37,0,3,41,100.0
235,17,10,5,3,2,8,29,1,1,26,100.0
64,8,4,1,1,3,1,59,1,3,53,76.04
60,22,11,3,3,2,9,59,0,3,16,98.71
53,10,9,9,0,1,8,41,0,2,12,89.29
212,12,11,6,4,0,11,86,0,3,34,100.0
239,10,0,6,3,0,0,12,0,4,14,63.9
235,9,3,0,0,1,2,16,1,2,52,68.92
125,7,8,1,0,0,8,25,1,4,17,75.44
53,15,3,0,3,0,3,21,0,5,56,63.82
240,17,15,0,3,5,10,54,1,2,46,100.0
84,10,8,4,3,1,7,4,0,5,80,100.0
187,12,9,7,3,4,5,61,0,1,12,100.0
101,17,4,6,1,4,0,31,1,5,3,97.28
127,16,15,8,3,2,13,72,0,5,42,100.0
129,13,5,0,2,4,1,28,0,1,100,82.15
101,6,15,8,2,6,9,74,0,2,21,100.0
55,12,7,4,4,6,1,94,0,1,98,100.0
86,17,11,2,1,1,10,75,1,3,95,100.0
208,16,0,5,4,0,0,72,0,2,64,83.95
168,14,5,7,0,0,5,7,0,2,78,55.79
86,5,15,0,2,4,11,25,0,2,44,100.0
213,10,10,0,0,1,9,75,0,2,100,80.84
58,21,11,1,2,5,6,84,0,4,76,100.0
55,15,9,5,1,1,8,93,0,4,82,100.0
154,15,5,8,4,2,3,28,0,5,23,100.0
126,14,9,2,1,5,4,0,0,5,51,100.0
227,6,5,9,2,4,1,28,0,5,14,100.0
157,9,10,1,1,2,8,40,1,2,82,96.72
52,15,14,0,2,1,13,31,0,1,45,81.44
95,8,0,0,3,0,0,93,1,4,22,69.68
135,20,12,5,4,3,9,12,1,4,74,100.0
196,12,5,7,0,0,5,37,0,1,41,66.7
96,8,2,5,1,1,1,20,1,1,71,53.52
53,15,15,0,3,5,10,21,0,5,56,100.0
70,6,3,5,1,1,2,52,0,5,93,67.42
216,22,8,10,2,2,6,30,0,1,7,100.0
130,22,15,2,0,2,13,0,0,4,12,100.0
105,20,6,1,0,1,5,21,1,3,11,61.28
151,8,9,6,3,3,6,84,1,3,12,100.0
194,22,12,2,2,3,9,47,0,2,58,100.0
41,13,14,7,2,1,13,34,0,5,8,100.0
68,8,2,10,2,2,0,52,1,5,30,100.0
171,6,12,8,3,4,8,87,0,4,74,100.0
90,20,9,1,3,6,3,91,1,1,65,100.0
176,21,4,1,3,1,3,21,0,2,25,65.13
62,6,13,1,3,1,12,80,0,2,77,100.0
96,15,2,1,3,2,0,50,0,5,42,74.0
100,21,14,0,4,4,10,66,0,4,15,100.0
136,9,4,9,4,4,0,97,1,1,14,100.0
174,8,9,8,2,3,6,33,1,4,84,100.0
154,20,1,2,2,1,0,18,1,5,78,84.98
204,17,1,6,2,0,1,6,1,4,35,75.5
125,5,10,4,2,2,8,62,0,1,30,96.3
64,14,14,5,2,5,9,53,0,5,83,100.0
52,11,14,3,3,5,9,62,0,5,48,100.0
240,6,5,1,2,5,0,64,0,4,18,100.0
229,21,0,2,1,0,0,7,0,2,5,40.19
146,6,11,3,2,2,9,59,0,5,51,100.0
192,8,0,3,2,0,0,76,1,4,23,73.25
151,22,11,5,1,6,5,33,0,1,37,100.0
37,17,1,2,4,0,1,28,1,2,87,65.14
82,13,13,8,0,6,7,99,0,1,61,100.0
63,10,0,3,2,0,0,91,0,3,55,48.56
126,16,14,4,1,3,11,38,0,5,80,100.0
131,8,0,8,2,0,0,38,1,1,62,78.26
46,15,8,10,2,6,2,35,0,3,84,100.0
212,14,6,2,4,6,0,30,0,1,77,100.0
133,15,4,0,3,2,2,33,0,4,52,78.96
129,6,6,5,1,5,1,68,0,4,86,100.0
121,21,9,2,4,1,8,37,0,1,61,100.0
62,13,5,10,2,5,0,11,0,2,46,98.2
87,14,13,5,2,2,11,74,0,3,60,100.0
60,20,1,10,4,0,1,60,1,2,65,84.97
60,17,9,6,0,6,3,19,1,2,26,100.0
117,18,14,2,2,6,8,91,1,2,100,100.0
50,20,10,10,1,2,8,81,1,1,1,100.0
145,13,6,2,4,6,0,20,0,4,98,100.0
229,7,4,9,3,3,1,51,1,4,62,100.0
128,5,1,8,1,1,0,1,0,3,97,70.64
165,11,0,10,0,0,0,28,0,3,40,60.41
63,8,12,8,4,2,10,21,1,1,6,100.0
106,14,14,8,4,4,10,43,0,4,88,100.0
64,15,15,5,1,1,14,51,0,1,30,100.0
87,9,6,0,4,4,2,21,1,1,47,93.61
212,6,12,10,2,6,6,68,0,5,7,100.0
182,6,3,10,0,0,3,88,0,1,54,79.17
143,17,3,8,2,3,0,89,1,2,27,100.0
207,5,9,6,0,5,4,66,0,3,80,100.0
185,9,13,1,4,5,8,79,1,1,37,100.0
59,8,15,3,4,1,14,99,1,3,67,100.0
81,16,13,4,1,0,13,70,0,4,27,100.0
206,20,10,3,0,0,10,85,1,1,15,100.0
176,20,4,1,4,0,4,92,1,1,33,85.63
194,12,14,4,2,3,11,6,0,1,23,100.0
40,14,11,10,2,3,8,94,0,1,13,100.0
224,6,0,2,1,0,0,45,0,4,80,53.88
98,7,11,5,1,0,11,51,1,4,59,100.0
99,17,15,6,1,0,15,16,1,1,21,100.0
56,18,15,9,3,1,14,78,1,4,100,100.0
121,5,4,7,3,0,4,52,0,4,6,79.91
46,13,10,0,4,6,4,95,0,5,93,100.0
174,12,10,8,4,5,5,89,0,5,13,100.0
140,12,15,5,3,1,14,71,0,5,7,100.0
32,10,15,7,1,0,15,96,0,4,42,100.0
91,15,8,0,4,1,7,70,0,4,52,95.56
239,12,2,7,3,2,0,57,0,1,64,95.92
144,15,3,7,0,0,3,51,0,4,5,66.12
172,22,0,1,4,0,0,65,0,5,27,65.53
197,19,10,5,0,6,4,28,1,4,43,100.0
173,20,11,7,0,0,11,97,1,2,1,100.0
117,16,9,8,4,2,7,89,0,1,6,100.0
72,20,4,6,0,2,2,78,1,2,25,85.08
60,17,6,7,1,5,1,43,1,1,97,100.0
136,6,3,7,3,1,2,63,0,1,68,87.27
218,6,13,9,3,4,9,99,0,2,89,100.0
178,10,4,1,3,4,0,77,0,3,65,91.32
128,18,7,4,3,2,5,37,1,4,18,100.0
65,18,9,8,2,5,4,94,1,5,81,100.0
85,11,6,9,2,5,1,44,0,2,91,100.0
196,10,10,1,2,4,6,61,0,5,74,100.0
200,18,9,6,0,4,5,13,1,1,49,100.0
67,6,1,3,2,0,1,36,0,3,19,38.27
