priority_rank,asset_id,department,asset_type,risk_probability,risk_score,rule_based_score,ai_priority_score,priority_category
25,ML-03329,ENGINEERING,Bridge,0.8660034979318332,86.60034979318331,71.5895,80.6,HIGH
26,ML-03198,S&T,Point Machine,0.8184267856254991,81.8426785625499,78.064,80.33,HIGH
27,ML-00730,ENGINEERING,Bridge,0.8613290084995306,86.13290084995306,71.54599999999999,80.3,HIGH
28,ML-02179,S&T,Signal,0.8349871268920042,83.49871268920042,75.3235,80.23,HIGH
29,ML-03365,TRD,Section Insulator,0.8917990733940685,89.17990733940685,66.724,80.2,HIGH
30,ML-00899,S&T,Axle Counter,0.8413775795750444,84.13775795750445,74.182,80.16,HIGH
31,ML-04948,ENGINEERING,Bridge,0.8632496525223914,86.32496525223914,70.852,80.14,HIGH
32,ML-00012,TRD,OHE,0.7674221431834205,76.74221431834205,84.889,80.0,HIGH
33,ML-00714,TRD,Transformer,0.8097909036910202,80.97909036910202,78.416,79.95,HIGH
34,ML-04489,TRD,Section Insulator,0.8159971304928811,81.59971304928811,76.84,79.7,HIGH
35,ML-00708,ENGINEERING,Point & Crossing,0.9035943055403933,90.35943055403933,63.4245,79.59,HIGH
36,ML-01362,TRD,OHE,0.8421192195229529,84.21192195229528,72.4505,79.51,HIGH
37,ML-03609,S&T,Point Machine,0.8236036487095748,82.36036487095748,74.75216666666667,79.32,HIGH
38,ML-03087,TRD,OHE,0.8039304552735408,80.39304552735408,77.3825,79.19,HIGH
39,ML-02589,TRD,Section Insulator,0.8022712278428124,80.22712278428124,76.9575,78.92,HIGH
40,ML-02703,TRD,OHE,0.8081193061776569,80.8119306177657,75.524,78.7,HIGH
41,ML-02262,S&T,Axle Counter,0.8106824691904713,81.06824691904713,75.13966666666667,78.7,HIGH
42,ML-02509,ENGINEERING,Track,0.8248400621822453,82.48400621822452,72.75450000000001,78.59,HIGH
43,ML-01342,TRD,Section Insulator,0.8480538949850236,84.80538949850236,68.84649999999999,78.42,HIGH
44,ML-00379,S&T,Point Machine,0.8168513621896332,81.68513621896332,73.451,78.39,HIGH
45,ML-00634,ENGINEERING,Track,0.7817248726011268,78.17248726011267,78.62049999999999,78.35,HIGH
46,ML-00860,TRD,OHE,0.8757411356358807,87.57411356358807,64.055,78.17,HIGH
47,ML-04582,ENGINEERING,Bridge,0.8756487008209226,87.56487008209226,64.05600000000001,78.16,HIGH
48,ML-02710,ENGINEERING,Track,0.8488154065645572,84.88154065645573,67.99166666666666,78.13,HIGH
49,ML-01578,TRD,OHE,0.8766843822642574,87.66843822642574,63.176,77.87,HIGH
50,ML-04523,ENGINEERING,Point & Crossing,0.8138290353654658,81.38290353654658,72.3325,77.76,HIGH
51,ML-00807,S&T,Signal,0.7832152634019408,78.32152634019408,76.6305,77.65,HIGH
52,ML-01514,S&T,Point Machine,0.7967875370552966,79.67875370552966,74.40933333333334,77.57,HIGH
53,ML-03460,TRD,Section Insulator,0.815212033104042,81.5212033104042,71.6225,77.56,HIGH
54,ML-04689,S&T,Signal,0.8287391920965053,82.87391920965052,69.57249999999999,77.55,HIGH
55,ML-00293,TRD,Section Insulator,0.817828741023892,81.7828741023892,70.9065,77.43,HIGH
56,ML-03553,TRD,Section Insulator,0.838056793942449,83.8056793942449,67.74950000000001,77.38,HIGH
57,ML-04391,ENGINEERING,Bridge,0.8505883847765584,85.05883847765584,65.8,77.36,HIGH
58,ML-03550,ENGINEERING,Track,0.8166088078716379,81.66088078716379,70.7515,77.3,HIGH
59,ML-01986,S&T,Point Machine,0.8399364229680498,83.99364229680498,66.912,77.16,HIGH
60,ML-02738,S&T,Signal,0.7732048989054239,77.32048989054239,76.906,77.15,HIGH
61,ML-01078,TRD,OHE,0.8507796741431847,85.07796741431846,64.988,77.04,HIGH
62,ML-01268,TRD,OHE,0.8354035227449427,83.54035227449427,67.1515,76.98,HIGH
63,ML-02126,ENGINEERING,Point & Crossing,0.7897069166685311,78.97069166685311,73.929,76.95,HIGH
64,ML-00781,TRD,Section Insulator,0.792383028832573,79.2383028832573,73.5,76.94,HIGH
65,ML-00711,S&T,Signal,0.7851085899210873,78.51085899210874,74.38499999999999,76.86,HIGH
66,ML-02780,TRD,Section Insulator,0.786666062240943,78.66660622409431,74.02449999999999,76.81,HIGH
67,ML-00024,ENGINEERING,Bridge,0.855249347419673,85.5249347419673,62.536,76.33,HIGH
68,ML-01648,TRD,Section Insulator,0.847876697595037,84.7876697595037,63.119499999999995,76.12,HIGH
69,ML-04696,ENGINEERING,Track,0.8122193205510652,81.22193205510652,68.41149999999999,76.1,HIGH
70,ML-00314,S&T,Axle Counter,0.8664907054621587,86.64907054621587,60.18183333333334,76.06,HIGH
71,ML-01109,TRD,Section Insulator,0.7632029742958687,76.32029742958687,75.575,76.02,HIGH
72,ML-04386,ENGINEERING,Track,0.838257264890204,83.8257264890204,64.247,75.99,HIGH
73,ML-02324,S&T,Point Machine,0.8424818489983521,84.24818489983521,63.538000000000004,75.96,HIGH
74,ML-00953,ENGINEERING,Point & Crossing,0.6907004603366602,69.07004603366602,86.225,75.93,HIGH
75,ML-03061,S&T,Axle Counter,0.8476311070689042,84.76311070689042,62.1605,75.72,HIGH
76,ML-03590,ENGINEERING,Track,0.8298167167357203,82.98167167357204,64.757,75.69,HIGH
77,ML-04639,TRD,OHE,0.736969770136762,73.6969770136762,78.588,75.65,HIGH
78,ML-00895,ENGINEERING,Bridge,0.8032668445804174,80.32668445804174,68.6285,75.65,HIGH
79,ML-02265,ENGINEERING,Bridge,0.879770696517757,87.9770696517757,57.0085,75.59,HIGH
80,ML-02074,S&T,Point Machine,0.7826521062702513,78.26521062702513,71.53200000000001,75.57,HIGH
81,ML-04912,TRD,Section Insulator,0.7825308534566038,78.25308534566038,71.496,75.55,HIGH
82,ML-03754,TRD,OHE,0.8175149190988686,81.75149190988687,66.012,75.46,HIGH
83,ML-01425,S&T,Axle Counter,0.790232098899277,79.0232098899277,69.762,75.32,HIGH
84,ML-02061,TRD,Section Insulator,0.7939622296379235,79.39622296379235,69.17150000000001,75.31,HIGH
85,ML-04146,TRD,Section Insulator,0.769806740541197,76.9806740541197,72.766,75.29,HIGH
86,ML-02149,ENGINEERING,Point & Crossing,0.8323988130064255,83.23988130064255,63.315000000000005,75.27,HIGH
87,ML-04843,TRD,Section Insulator,0.7989220223203395,79.89220223203395,68.313,75.26,HIGH
88,ML-04878,TRD,Section Insulator,0.8142364795950092,81.42364795950093,65.88433333333333,75.21,HIGH
89,ML-02230,S&T,Signal,0.8445601278810834,84.45601278810834,61.1555,75.14,HIGH
90,ML-01551,ENGINEERING,Bridge,0.8176015472084661,81.76015472084661,65.0675,75.08,HIGH
91,ML-02218,ENGINEERING,Point & Crossing,0.8195884650926808,81.95884650926808,64.59649999999999,75.01,HIGH
92,ML-00047,TRD,OHE,0.7948094757059555,79.48094757059555,68.304,75.01,HIGH
93,ML-01271,S&T,Signal,0.8235391085570162,82.35391085570161,63.732499999999995,74.91,HIGH
94,ML-04519,TRD,OHE,0.8240189976618291,82.40189976618291,63.529,74.85,HIGH
95,ML-02647,TRD,Transformer,0.8229234592611155,82.29234592611155,63.469500000000004,74.76,HIGH
96,ML-00211,TRD,Transformer,0.7852292059166232,78.52292059166231,69.1,74.75,HIGH
97,ML-04314,S&T,Signal,0.8389923897605671,83.89923897605671,60.484500000000004,74.53,HIGH
98,ML-04442,S&T,Axle Counter,0.7489692390097515,74.89692390097515,73.7855,74.45,HIGH
99,ML-03769,S&T,Point Machine,0.8573259497708166,85.73259497708166,57.468500000000006,74.43,HIGH
100,ML-01072,TRD,OHE,0.7093154935140664,70.93154935140664,79.321,74.29,HIGH
101,ML-03562,TRD,Transformer,0.7738167545582624,77.38167545582624,69.59899999999999,74.27,HIGH
102,ML-02462,TRD,Section Insulator,0.7634744643823339,76.34744643823339,71.07,74.24,HIGH
103,ML-04952,S&T,Signal,0.8308770221486853,83.08770221486853,60.8085,74.18,HIGH
104,ML-03873,TRD,Transformer,0.7553981680018286,75.53981680018286,72.0145,74.13,HIGH
105,ML-01556,ENGINEERING,Track,0.7389696102805076,73.89696102805075,74.1925,74.02,HIGH
106,ML-00235,TRD,Section Insulator,0.785900076671671,78.5900076671671,67.1055,74.0,HIGH
107,ML-04810,S&T,Axle Counter,0.8540284299280165,85.40284299280165,56.808,73.96,HIGH
108,ML-02668,S&T,Point Machine,0.7509586913956001,75.09586913956001,72.2655,73.96,HIGH
109,ML-04494,ENGINEERING,Bridge,0.8344130293890497,83.44130293890497,59.579,73.9,HIGH
110,ML-00599,ENGINEERING,Point & Crossing,0.8067834172457704,80.67834172457704,63.681,73.88,HIGH
111,ML-00888,ENGINEERING,Point & Crossing,0.7527441008616473,75.27441008616474,71.7815,73.88,HIGH
112,ML-03993,TRD,Transformer,0.8039922199730752,80.39922199730752,63.996,73.84,HIGH
113,ML-03463,S&T,Axle Counter,0.7702875297351138,77.02875297351139,68.9925,73.81,HIGH
114,ML-01201,ENGINEERING,Point & Crossing,0.814335686441207,81.4335686441207,62.3315,73.79,HIGH
115,ML-03679,S&T,Signal,0.8031279984032867,80.31279984032868,63.8615,73.73,HIGH
116,ML-02461,TRD,Transformer,0.8195115713289133,81.95115713289132,61.3125,73.7,HIGH
117,ML-00545,TRD,Section Insulator,0.739925226290725,73.9925226290725,73.2045,73.68,HIGH
118,ML-02804,ENGINEERING,Track,0.7750794959625829,77.50794959625829,67.7875,73.62,HIGH
119,ML-04552,ENGINEERING,Bridge,0.8002694319121834,80.02694319121834,63.9775,73.61,HIGH
120,ML-03642,ENGINEERING,Bridge,0.7650925532447208,76.50925532447208,69.099,73.55,HIGH
121,ML-03367,TRD,OHE,0.7915286673684321,79.15286673684321,65.1255,73.54,HIGH
122,ML-00181,S&T,Point Machine,0.8309267804397191,83.09267804397192,59.133500000000005,73.51,HIGH
123,ML-04147,ENGINEERING,Point & Crossing,0.8255516990483653,82.55516990483653,59.857,73.48,HIGH
124,ML-01824,ENGINEERING,Track,0.8195374042454966,81.95374042454966,60.772000000000006,73.48,HIGH
125,ML-02859,ENGINEERING,Bridge,0.7650778922690415,76.50778922690415,68.84049999999999,73.44,HIGH
126,ML-03090,TRD,OHE,0.7848735685830707,78.48735685830707,65.8545,73.43,HIGH
127,ML-01928,ENGINEERING,Track,0.7796482037336301,77.96482037336301,66.4025,73.34,HIGH
128,ML-04454,TRD,Section Insulator,0.8029831631148876,80.29831631148876,62.871,73.33,HIGH
129,ML-00138,ENGINEERING,Track,0.8004972852309006,80.04972852309005,63.1245,73.28,HIGH
130,ML-02209,ENGINEERING,Point & Crossing,0.7442960107449603,74.42960107449603,71.3485,73.2,HIGH
131,ML-01076,TRD,OHE,0.7878106280796342,78.78106280796342,64.7975,73.19,HIGH
132,ML-00338,ENGINEERING,Point & Crossing,0.7885099808616546,78.85099808616546,64.666,73.18,HIGH
133,ML-02222,TRD,OHE,0.883196907125625,88.3196907125625,50.435,73.17,HIGH
134,ML-00866,ENGINEERING,Point & Crossing,0.7757164044946223,77.57164044946224,66.322,73.07,HIGH
135,ML-02096,TRD,Transformer,0.7589603346534203,75.89603346534203,68.7635,73.04,HIGH
136,ML-01617,TRD,Transformer,0.8229416328898469,82.29416328898469,58.89633333333333,72.94,HIGH
137,ML-03363,TRD,Section Insulator,0.7627222935959422,76.27222935959422,67.9135,72.93,HIGH
138,ML-04929,ENGINEERING,Bridge,0.8224953888870762,82.24953888870762,58.854,72.89,HIGH
139,ML-03969,S&T,Signal,0.8301656628393124,83.01656628393124,57.6855,72.88,HIGH
140,ML-00317,ENGINEERING,Point & Crossing,0.8082225848667721,80.82225848667721,60.696,72.77,HIGH
141,ML-03371,TRD,Section Insulator,0.7860014100986403,78.60014100986403,63.989,72.76,HIGH
142,ML-04588,S&T,Axle Counter,0.7216763633835803,72.16763633835804,73.4335,72.67,HIGH
143,ML-03555,ENGINEERING,Point & Crossing,0.7776825326008702,77.76825326008702,64.861,72.61,HIGH
144,ML-04753,S&T,Axle Counter,0.727495646723138,72.74956467231381,72.2855,72.56,HIGH
145,ML-04743,ENGINEERING,Point & Crossing,0.8234367268066617,82.34367268066617,57.7475,72.51,HIGH
146,ML-00132,TRD,Transformer,0.7670666708385169,76.70666708385168,65.97749999999999,72.42,HIGH
147,ML-01303,S&T,Signal,0.8191107034388899,81.911070343889,58.1195,72.39,HIGH
148,ML-02845,S&T,Axle Counter,0.7784658673373126,77.84658673373126,64.13550000000001,72.36,HIGH
149,ML-02019,ENGINEERING,Bridge,0.7596944986295995,75.96944986295995,66.904,72.34,HIGH
150,ML-00057,ENGINEERING,Track,0.8145255810049078,81.45255810049078,58.6605,72.34,HIGH
151,ML-04295,TRD,OHE,0.7811498981459389,78.1149898145939,63.567499999999995,72.3,HIGH
152,ML-02444,S&T,Point Machine,0.7980753394049102,79.80753394049101,60.958,72.27,HIGH
153,ML-00091,ENGINEERING,Track,0.754543202547421,75.4543202547421,67.447,72.25,HIGH
154,ML-01098,TRD,Section Insulator,0.7352544881684131,73.5254488168413,70.24350000000001,72.21,HIGH
155,ML-04677,TRD,Section Insulator,0.8030117426075791,80.30117426075792,60.04066666666667,72.2,HIGH
156,ML-02570,S&T,Point Machine,0.7017470168138235,70.17470168138234,75.05850000000001,72.13,HIGH
157,ML-04531,ENGINEERING,Point & Crossing,0.7589638469209145,75.89638469209144,66.43549999999999,72.11,HIGH
158,ML-00909,S&T,Signal,0.8006512633689573,80.06512633689573,60.084,72.07,HIGH
159,ML-02609,ENGINEERING,Point & Crossing,0.8357518712259104,83.57518712259105,54.6945,72.02,HIGH
160,ML-00946,TRD,Transformer,0.7174647861224797,71.74647861224797,72.4045,72.01,HIGH
161,ML-01728,S&T,Axle Counter,0.7240687922064873,72.40687922064873,71.2695,71.95,HIGH
162,ML-01630,TRD,Section Insulator,0.841561134140574,84.1561134140574,53.446,71.87,HIGH
163,ML-00261,ENGINEERING,Track,0.7655950369400928,76.55950369400928,64.686,71.81,HIGH
164,ML-00628,ENGINEERING,Point & Crossing,0.7358424205895409,73.58424205895409,69.075,71.78,HIGH
165,ML-02711,TRD,OHE,0.7737283846858887,77.37283846858887,63.2535,71.73,HIGH
166,ML-02983,S&T,Point Machine,0.806924289862835,80.6924289862835,58.259,71.72,HIGH
167,ML-04752,TRD,Transformer,0.8696158202633836,86.96158202633836,48.823,71.71,HIGH
168,ML-03729,ENGINEERING,Bridge,0.7896003964617212,78.96003964617212,60.847,71.71,HIGH
169,ML-01995,S&T,Signal,0.7310270733392827,73.10270733392828,69.52799999999999,71.67,HIGH
170,ML-03514,ENGINEERING,Track,0.7402262571277741,74.02262571277741,68.0925,71.65,HIGH
171,ML-03669,TRD,OHE,0.756323965149049,75.6323965149049,65.686,71.65,HIGH
172,ML-02268,S&T,Point Machine,0.7330027833324653,73.30027833324652,69.1575,71.64,HIGH
173,ML-01636,TRD,Section Insulator,0.7319490202997982,73.19490202997983,69.2495,71.62,HIGH
174,ML-04069,TRD,OHE,0.7613751600197319,76.1375160019732,64.723,71.57,HIGH
175,ML-04173,TRD,Section Insulator,0.7738784797174848,77.38784797174849,62.716833333333334,71.52,HIGH
176,ML-02373,TRD,OHE,0.7390714336915998,73.90714336915998,67.9,71.5,HIGH
177,ML-03184,ENGINEERING,Bridge,0.75475445672905,75.475445672905,65.4805,71.48,HIGH
178,ML-00553,TRD,Section Insulator,0.8591626140025899,85.91626140025899,49.734500000000004,71.44,HIGH
179,ML-02712,TRD,Transformer,0.720616611246077,72.0616611246077,70.24000000000001,71.33,HIGH
180,ML-03871,TRD,Transformer,0.6264274124030353,62.642741240303536,83.6175,71.03,HIGH
181,ML-04143,TRD,Transformer,0.7746240127069598,77.46240127069598,61.203,70.96,HIGH
182,ML-04922,TRD,OHE,0.7804717413427081,78.04717413427082,60.11,70.87,HIGH
183,ML-04857,ENGINEERING,Track,0.7955537054098683,79.55537054098683,57.8335,70.87,HIGH
184,ML-02698,ENGINEERING,Point & Crossing,0.8258408055744978,82.58408055744978,53.20733333333334,70.83,HIGH
185,ML-03078,ENGINEERING,Track,0.7402512500446718,74.02512500446718,66.027,70.83,HIGH
186,ML-01624,TRD,OHE,0.7082728127766933,70.82728127766933,70.8,70.82,HIGH
187,ML-03406,S&T,Point Machine,0.7826431402106837,78.26431402106837,59.6415,70.82,HIGH
188,ML-03777,TRD,Section Insulator,0.8291923998523204,82.91923998523204,52.543000000000006,70.77,HIGH
189,ML-01678,S&T,Point Machine,0.7900047248989225,79.00047248989225,58.2715,70.71,HIGH
190,ML-03422,TRD,Section Insulator,0.750402936147269,75.0402936147269,64.1765,70.69,HIGH
191,ML-04553,TRD,Section Insulator,0.8134195693574684,81.34195693574684,54.569,70.63,HIGH
192,ML-04459,ENGINEERING,Point & Crossing,0.7159968249470045,71.59968249470045,68.991,70.56,HIGH
193,ML-04699,TRD,Section Insulator,0.7115264523346214,71.15264523346214,69.6705,70.56,HIGH
194,ML-02833,ENGINEERING,Track,0.7901952165398618,79.01952165398617,57.8445,70.55,HIGH
195,ML-03781,ENGINEERING,Point & Crossing,0.7848775707908479,78.48775707908479,58.6245,70.54,HIGH
196,ML-03387,TRD,OHE,0.7876855291968523,78.76855291968523,58.122499999999995,70.51,HIGH
197,ML-02427,TRD,OHE,0.7555759194383636,75.55759194383636,62.906,70.5,HIGH
198,ML-02036,ENGINEERING,Track,0.7322441829949865,73.22441829949865,66.2655,70.44,HIGH
199,ML-02523,S&T,Axle Counter,0.6573042832815851,65.73042832815851,77.47,70.43,HIGH
200,ML-02217,ENGINEERING,Point & Crossing,0.7117156371168217,71.17156371168217,69.3125,70.43,HIGH
201,ML-02007,S&T,Point Machine,0.7849747845049161,78.49747845049161,58.2735,70.41,HIGH
202,ML-04583,ENGINEERING,Track,0.790686062842856,79.06860628428561,57.346000000000004,70.38,HIGH
203,ML-02870,TRD,OHE,0.6885543712207329,68.8554371220733,72.64150000000001,70.37,HIGH
204,ML-00641,ENGINEERING,Bridge,0.7379334869735767,73.79334869735767,65.2025,70.36,HIGH
205,ML-02657,ENGINEERING,Track,0.7230403383752065,72.30403383752065,67.16550000000001,70.25,HIGH
206,ML-00092,S&T,Axle Counter,0.7091275042504079,70.9127504250408,68.905,70.11,HIGH
207,ML-01822,S&T,Signal,0.7528724145063777,75.28724145063777,62.2755,70.08,HIGH
208,ML-04772,TRD,Transformer,0.7486472922042275,74.86472922042276,62.794000000000004,70.04,HIGH
209,ML-04290,TRD,Transformer,0.8294519127424563,82.94519127424563,50.5505,69.99,MEDIUM
210,ML-01826,S&T,Signal,0.6788468881038259,67.88468881038258,73.1075,69.97,MEDIUM
211,ML-00360,ENGINEERING,Track,0.6504481996923228,65.04481996923228,77.3125,69.95,MEDIUM
212,ML-00210,S&T,Point Machine,0.7278156335306981,72.78156335306981,65.656,69.93,MEDIUM
213,ML-03518,TRD,Transformer,0.7749425071525795,77.49425071525795,58.4825,69.89,MEDIUM
214,ML-01554,S&T,Signal,0.6725678847191151,67.2567884719115,73.7825,69.87,MEDIUM
215,ML-02143,ENGINEERING,Track,0.7092182204146651,70.92182204146651,68.26050000000001,69.86,MEDIUM
216,ML-04625,TRD,Transformer,0.6998948142146462,69.98948142146462,69.3775,69.74,MEDIUM
217,ML-00797,ENGINEERING,Point & Crossing,0.7700223724811286,77.00223724811286,58.7465,69.7,MEDIUM
218,ML-04893,S&T,Axle Counter,0.6308110110755341,63.08110110755341,79.6035,69.69,MEDIUM
219,ML-01220,TRD,OHE,0.7842427116278705,78.42427116278705,56.562,69.68,MEDIUM
220,ML-02976,ENGINEERING,Bridge,0.6544024549664793,65.44024549664793,75.9975,69.66,MEDIUM
221,ML-00600,S&T,Signal,0.7487808226770416,74.87808226770416,61.763999999999996,69.63,MEDIUM
222,ML-02005,ENGINEERING,Track,0.692846788694953,69.2846788694953,69.997,69.57,MEDIUM
223,ML-01227,S&T,Signal,0.7208764691373993,72.08764691373993,65.7515,69.55,MEDIUM
224,ML-03923,ENGINEERING,Bridge,0.7433117693502023,74.33117693502022,62.197,69.48,MEDIUM
225,ML-04346,S&T,Signal,0.7110828648791094,71.10828648791095,67.03550000000001,69.48,MEDIUM
226,ML-00097,ENGINEERING,Track,0.7532630944591722,75.32630944591722,60.537,69.41,MEDIUM
227,ML-01361,ENGINEERING,Point & Crossing,0.7206872438051704,72.06872438051704,65.3405,69.38,MEDIUM
228,ML-01771,TRD,OHE,0.7321263600623638,73.21263600623638,63.5235,69.34,MEDIUM
229,ML-02640,TRD,Transformer,0.7954294579374394,79.54294579374394,54.033,69.34,MEDIUM
230,ML-01815,ENGINEERING,Point & Crossing,0.7264027552738704,72.64027552738705,64.3735,69.33,MEDIUM
231,ML-04935,TRD,Transformer,0.760377369736618,76.0377369736618,59.239999999999995,69.32,MEDIUM
232,ML-02034,TRD,OHE,0.645944096818109,64.5944096818109,76.364,69.3,MEDIUM
233,ML-03317,ENGINEERING,Track,0.7109956716113824,71.09956716113824,66.58099999999999,69.29,MEDIUM
234,ML-01975,ENGINEERING,Track,0.727465931039616,72.7465931039616,64.0855,69.28,MEDIUM
235,ML-00192,TRD,Transformer,0.7100727130978626,71.00727130978626,66.524,69.21,MEDIUM
236,ML-00105,TRD,Section Insulator,0.7362688750869899,73.62688750869899,62.5155,69.18,MEDIUM
237,ML-01229,S&T,Axle Counter,0.6206549198197512,62.06549198197512,79.7415,69.14,MEDIUM
238,ML-04161,TRD,OHE,0.7833575812779782,78.33575812779782,55.193999999999996,69.08,MEDIUM
239,ML-02720,S&T,Axle Counter,0.7930015699192297,79.30015699192296,53.669,69.05,MEDIUM
240,ML-02100,TRD,Section Insulator,0.7828695381014845,78.28695381014845,54.893499999999996,68.93,MEDIUM
241,ML-04674,S&T,Signal,0.7483860343428218,74.83860343428218,59.918,68.87,MEDIUM
242,ML-00636,TRD,Transformer,0.6895404122959224,68.95404122959225,68.676,68.84,MEDIUM
243,ML-03952,ENGINEERING,Bridge,0.661017899896009,66.1017899896009,72.9405,68.84,MEDIUM
244,ML-04282,ENGINEERING,Track,0.6308472600327705,63.08472600327705,77.452,68.83,MEDIUM
245,ML-02629,ENGINEERING,Bridge,0.747554594960807,74.7554594960807,59.935,68.83,MEDIUM
246,ML-02478,S&T,Signal,0.6503320363771381,65.03320363771381,74.5255,68.83,MEDIUM
247,ML-02567,ENGINEERING,Point & Crossing,0.7551990077598796,75.51990077598796,58.758,68.82,MEDIUM
248,ML-04813,ENGINEERING,Bridge,0.8079109862238737,80.79109862238737,50.8155,68.8,MEDIUM
249,ML-04864,ENGINEERING,Bridge,0.7669075295494853,76.69075295494852,56.925,68.78,MEDIUM
250,ML-02119,ENGINEERING,Point & Crossing,0.7694879757426295,76.94879757426295,56.51083333333334,68.77,MEDIUM
251,ML-01817,S&T,Signal,0.7885380270841835,78.85380270841836,53.518499999999996,68.72,MEDIUM
252,ML-00748,TRD,Section Insulator,0.6957253843737461,69.5725384373746,67.2975,68.66,MEDIUM
253,ML-02371,S&T,Point Machine,0.7456619376989829,74.56619376989829,59.7815,68.65,MEDIUM
254,ML-00579,S&T,Signal,0.697988619730484,69.7988619730484,66.8345,68.61,MEDIUM
255,ML-04959,ENGINEERING,Point & Crossing,0.7578886398416951,75.78886398416951,57.746,68.57,MEDIUM
256,ML-03925,S&T,Signal,0.7657936588746905,76.57936588746905,56.530499999999996,68.56,MEDIUM
257,ML-04844,TRD,OHE,0.7066488919404855,70.66488919404856,65.382,68.55,MEDIUM
258,ML-00332,S&T,Axle Counter,0.8003087593749869,80.03087593749869,51.268,68.53,MEDIUM
259,ML-01383,TRD,Section Insulator,0.6905696459949539,69.05696459949539,67.676,68.5,MEDIUM
260,ML-01759,TRD,Section Insulator,0.6828415943701538,68.28415943701538,68.7755,68.48,MEDIUM
261,ML-04440,TRD,Section Insulator,0.700730054209127,70.07300542091271,66.03200000000001,68.46,MEDIUM
262,ML-04151,S&T,Signal,0.8056285874117262,80.56285874117262,50.2205,68.43,MEDIUM
263,ML-00623,S&T,Signal,0.817356130615084,81.7356130615084,48.454,68.42,MEDIUM
264,ML-00901,TRD,Transformer,0.7001823860771985,70.01823860771985,66.02350000000001,68.42,MEDIUM
265,ML-00152,TRD,Transformer,0.8132582464437818,81.32582464437817,49.028,68.41,MEDIUM
266,ML-01640,TRD,OHE,0.6190067956430724,61.90067956430724,78.066,68.37,MEDIUM
267,ML-00086,ENGINEERING,Bridge,0.709922786076064,70.9922786076064,64.42150000000001,68.36,MEDIUM
268,ML-04849,ENGINEERING,Track,0.7584284236058764,75.84284236058764,57.041,68.32,MEDIUM
269,ML-01364,ENGINEERING,Bridge,0.684876308994951,68.4876308994951,67.9355,68.27,MEDIUM
270,ML-04759,TRD,Transformer,0.8071384176799067,80.71384176799067,49.611000000000004,68.27,MEDIUM
271,ML-02191,ENGINEERING,Track,0.7921335016940648,79.21335016940648,51.839,68.26,MEDIUM
272,ML-00159,TRD,Section Insulator,0.7548056196724515,75.48056196724515,57.230000000000004,68.18,MEDIUM
273,ML-04830,TRD,OHE,0.7281692356575664,72.81692356575664,61.194,68.17,MEDIUM
274,ML-02511,ENGINEERING,Track,0.709873856646703,70.9873856646703,63.679,68.06,MEDIUM
